id,lmfdb_label,rank,torsion,conductor
1,11.a1,0,1,11
0,11.a2,0,5,11
2,11.a3,0,5,11
7,14.a1,0,2,14
5,14.a2,0,2,14
4,14.a3,0,6,14
8,14.a4,0,6,14
6,14.a5,0,6,14
3,14.a6,0,6,14
13,15.a1,0,2,15
10,15.a2,0,4,15
14,15.a3,0,2,15
15,15.a4,0,4,15
9,15.a5,0,8,15
11,15.a6,0,8,15
16,15.a7,0,4,15
12,15.a8,0,8,15
19,17.a1,0,2,17
18,17.a2,0,4,17
17,17.a3,0,4,17
20,17.a4,0,4,17
22,19.a1,0,1,19
21,19.a2,0,3,19
23,19.a3,0,3,19
27,20.a1,0,2,20
26,20.a2,0,2,20
25,20.a3,0,6,20
24,20.a4,0,6,20
32,21.a1,0,2,21
29,21.a2,0,4,21
30,21.a3,0,8,21
33,21.a4,0,2,21
28,21.a5,0,8,21
31,21.a6,0,4,21
38,24.a1,0,2,24
36,24.a2,0,4,24
35,24.a3,0,4,24
34,24.a4,0,8,24
37,24.a5,0,4,24
39,24.a6,0,2,24
41,26.a1,0,1,26
40,26.a2,0,3,26
42,26.a3,0,3,26
44,26.b1,0,1,26
43,26.b2,0,7,26
46,27.a1,0,1,27
48,27.a2,0,3,27
45,27.a3,0,3,27
47,27.a4,0,3,27
55,30.a1,0,2,30
56,30.a2,0,2,30
54,30.a3,0,4,30
53,30.a4,0,6,30
52,30.a5,0,6,30
50,30.a6,0,12,30
51,30.a7,0,2,30
49,30.a8,0,6,30
59,32.a1,0,2,32
60,32.a2,0,4,32
58,32.a3,0,4,32
57,32.a4,0,4,32
63,33.a1,0,4,33
61,33.a2,0,4,33
62,33.a3,0,2,33
64,33.a4,0,2,33
68,34.a1,0,2,34
67,34.a2,0,2,34
66,34.a3,0,6,34
65,34.a4,0,6,34
70,35.a1,0,1,35
71,35.a2,0,3,35
69,35.a3,0,3,35
75,36.a1,0,2,36
73,36.a2,0,6,36
74,36.a3,0,2,36
72,36.a4,0,6,36
76,37.a1,1,1,37
78,37.b1,0,1,37
77,37.b2,0,3,37
79,37.b3,0,3,37
81,38.a1,0,1,38
82,38.a2,0,3,38
80,38.a3,0,3,38
84,38.b1,0,1,38
83,38.b2,0,5,38
86,39.a1,0,2,39
87,39.a2,0,4,39
85,39.a3,0,4,39
88,39.a4,0,2,39
90,40.a1,0,2,40
89,40.a2,0,4,40
91,40.a3,0,4,40
92,40.a4,0,4,40
96,42.a1,0,4,42
97,42.a2,0,2,42
95,42.a3,0,4,42
94,42.a4,0,8,42
93,42.a5,0,8,42
98,42.a6,0,2,42
99,43.a1,1,1,43
101,44.a1,0,1,44
100,44.a2,0,3,44
108,45.a1,0,2,45
106,45.a2,0,4,45
109,45.a3,0,2,45
104,45.a4,0,2,45
105,45.a5,0,4,45
103,45.a6,0,4,45
102,45.a7,0,2,45
107,45.a8,0,2,45
111,46.a1,0,2,46
110,46.a2,0,2,46
116,48.a1,0,4,48
113,48.a2,0,2,48
114,48.a3,0,8,48
112,48.a4,0,4,48
115,48.a5,0,2,48
117,48.a6,0,8,48
121,49.a1,0,2,49
120,49.a2,0,2,49
119,49.a3,0,2,49
118,49.a4,0,2,49
123,50.a1,0,1,50
124,50.a2,0,3,50
122,50.a3,0,3,50
125,50.a4,0,1,50
129,50.b1,0,1,50
128,50.b2,0,1,50
126,50.b3,0,5,50
127,50.b4,0,5,50
131,51.a1,0,1,51
130,51.a2,0,3,51
133,52.a1,0,2,52
132,52.a2,0,2,52
134,53.a1,1,1,53
136,54.a1,0,1,54
137,54.a2,0,3,54
135,54.a3,0,3,54
139,54.b1,0,1,54
140,54.b2,0,9,54
138,54.b3,0,3,54
143,55.a1,0,4,55
142,55.a2,0,2,55
141,55.a3,0,4,55
144,55.a4,0,2,55
148,56.a1,0,2,56
147,56.a2,0,2,56
146,56.a3,0,4,56
145,56.a4,0,4,56
150,56.b1,0,2,56
149,56.b2,0,2,56
151,57.a1,1,1,57
157,57.b1,0,1,57
156,57.b2,0,5,57
154,57.c1,0,4,57
152,57.c2,0,4,57
153,57.c3,0,2,57
155,57.c4,0,2,57
158,58.a1,1,1,58
160,58.b1,0,1,58
159,58.b2,0,5,58
161,61.a1,1,1,61
165,62.a1,0,2,62
164,62.a2,0,2,62
163,62.a3,0,4,62
162,62.a4,0,4,62
170,63.a1,0,4,63
169,63.a2,0,4,63
168,63.a3,0,2,63
171,63.a4,0,2,63
167,63.a5,0,4,63
166,63.a6,0,2,63
173,64.a1,0,2,64
174,64.a2,0,4,64
172,64.a3,0,4,64
175,64.a4,0,2,64
176,65.a1,1,2,65
177,65.a2,1,2,65
180,66.a1,0,2,66
181,66.a2,0,2,66
178,66.a3,0,6,66
179,66.a4,0,6,66
184,66.b1,0,2,66
183,66.b2,0,4,66
185,66.b3,0,2,66
182,66.b4,0,4,66
188,66.c1,0,2,66
189,66.c2,0,2,66
186,66.c3,0,10,66
187,66.c4,0,10,66
190,67.a1,0,1,67
192,69.a1,0,2,69
191,69.a2,0,2,69
195,70.a1,0,2,70
196,70.a2,0,2,70
194,70.a3,0,4,70
193,70.a4,0,4,70
201,72.a1,0,2,72
199,72.a2,0,2,72
200,72.a3,0,4,72
198,72.a4,0,4,72
197,72.a5,0,4,72
202,72.a6,0,2,72
204,73.a1,0,2,73
203,73.a2,0,2,73
216,75.a1,0,1,75
215,75.a2,0,5,75
213,75.b1,0,2,75
211,75.b2,0,4,75
214,75.b3,0,4,75
210,75.b4,0,2,75
209,75.b5,0,4,75
208,75.b6,0,4,75
207,75.b7,0,2,75
212,75.b8,0,2,75
205,75.c1,0,1,75
206,75.c2,0,1,75
217,76.a1,0,1,76
218,77.a1,1,1,77
221,77.b1,0,3,77
219,77.b2,0,3,77
220,77.b3,0,1,77
223,77.c1,0,2,77
222,77.c2,0,2,77
227,78.a1,0,4,78
226,78.a2,0,2,78
225,78.a3,0,4,78
224,78.a4,0,2,78
228,79.a1,1,1,79
231,80.a1,0,4,80
229,80.a2,0,4,80
230,80.a3,0,2,80
232,80.a4,0,4,80
236,80.b1,0,2,80
235,80.b2,0,2,80
234,80.b3,0,2,80
233,80.b4,0,2,80
238,82.a1,1,2,82
237,82.a2,1,2,82
239,83.a1,1,1,83
245,84.a1,0,2,84
244,84.a2,0,2,84
243,84.b1,0,2,84
242,84.b2,0,2,84
241,84.b3,0,6,84
240,84.b4,0,6,84
246,85.a1,0,2,85
247,85.a2,0,2,85
248,88.a1,1,1,88
249,89.a1,1,1,89
251,89.b1,0,2,89
250,89.b2,0,2,89
255,90.a1,0,2,90
254,90.a2,0,2,90
253,90.a3,0,6,90
252,90.a4,0,6,90
259,90.b1,0,2,90
257,90.b2,0,6,90
256,90.b3,0,6,90
258,90.b4,0,2,90
267,90.c1,0,6,90
266,90.c2,0,6,90
265,90.c3,0,12,90
263,90.c4,0,2,90
264,90.c5,0,2,90
261,90.c6,0,4,90
262,90.c7,0,12,90
260,90.c8,0,4,90
268,91.a1,1,1,91
271,91.b1,1,1,91
269,91.b2,1,3,91
270,91.b3,1,3,91
274,92.a1,1,1,92
273,92.b1,0,1,92
272,92.b2,0,3,92
276,94.a1,0,2,94
275,94.a2,0,2,94
282,96.a1,0,2,96
283,96.a2,0,4,96
281,96.a3,0,4,96
284,96.a4,0,2,96
279,96.b1,0,2,96
278,96.b2,0,2,96
277,96.b3,0,4,96
280,96.b4,0,4,96
290,98.a1,0,2,98
289,98.a2,0,2,98
288,98.a3,0,2,98
286,98.a4,0,2,98
285,98.a5,0,2,98
287,98.a6,0,2,98
292,99.a1,1,2,99
291,99.a2,1,2,99
295,99.b1,0,2,99
294,99.b2,0,4,99
293,99.b3,0,4,99
296,99.b4,0,2,99
298,99.c1,0,2,99
297,99.c2,0,2,99
301,99.d1,0,1,99
300,99.d2,0,1,99
299,99.d3,0,1,99
304,100.a1,0,2,100
305,100.a2,0,2,100
302,100.a3,0,2,100
303,100.a4,0,2,100
306,101.a1,1,1,101
307,102.a1,1,2,102
308,102.a2,1,2,102
317,102.b1,0,2,102
315,102.b2,0,6,102
316,102.b3,0,6,102
318,102.b4,0,2,102
313,102.c1,0,2,102
311,102.c2,0,4,102
314,102.c3,0,2,102
310,102.c4,0,8,102
309,102.c5,0,8,102
312,102.c6,0,4,102
319,104.a1,0,1,104
322,105.a1,0,2,105
321,105.a2,0,4,105
320,105.a3,0,2,105
323,105.a4,0,4,105
326,106.a1,1,1,106
329,106.b1,0,1,106
325,106.c1,0,1,106
324,106.c2,0,3,106
328,106.d1,0,1,106
327,106.d2,0,3,106
331,108.a1,0,1,108
330,108.a2,0,3,108
332,109.a1,0,1,109
337,110.a1,0,3,110
338,110.a2,0,1,110
334,110.b1,0,1,110
333,110.b2,0,5,110
335,110.c1,0,3,110
336,110.c2,0,1,110
340,112.a1,1,2,112
339,112.a2,1,2,112
343,112.b1,0,2,112
344,112.b2,0,4,112
342,112.b3,0,4,112
341,112.b4,0,2,112
350,112.c1,0,2,112
349,112.c2,0,2,112
348,112.c3,0,2,112
346,112.c4,0,2,112
345,112.c5,0,2,112
347,112.c6,0,2,112
352,113.a1,0,2,113
351,113.a2,0,2,113
357,114.a1,0,2,114
358,114.a2,0,2,114
361,114.b1,0,2,114
360,114.b2,0,4,114
362,114.b3,0,2,114
359,114.b4,0,4,114
355,114.c1,0,2,114
356,114.c2,0,2,114
353,114.c3,0,6,114
354,114.c4,0,6,114
363,115.a1,0,1,115
364,116.a1,0,1,116
365,116.b1,0,3,116
366,116.b2,0,1,116
368,116.c1,0,2,116
367,116.c2,0,2,116
372,117.a1,1,2,117
371,117.a2,1,2,117
370,117.a3,1,4,117
369,117.a4,1,4,117
373,118.a1,1,1,118
377,118.b1,0,1,118
374,118.c1,0,5,118
375,118.c2,0,1,118
376,118.d1,0,1,118
386,120.a1,0,2,120
387,120.a2,0,2,120
385,120.a3,0,4,120
384,120.a4,0,2,120
382,120.b1,0,2,120
380,120.b2,0,4,120
383,120.b3,0,2,120
379,120.b4,0,8,120
378,120.b5,0,4,120
381,120.b6,0,4,120
389,121.a1,0,1,121
388,121.a2,0,1,121
391,121.b1,1,1,121
390,121.b2,1,1,121
393,121.c1,0,1,121
392,121.c2,0,1,121
396,121.d1,0,1,121
395,121.d2,0,1,121
394,121.d3,0,1,121
397,122.a1,1,1,122
398,123.a1,1,5,123
399,123.a2,1,1,123
400,123.b1,1,1,123
401,124.a1,1,3,124
402,124.a2,1,1,124
403,124.b1,0,1,124
412,126.a1,0,2,126
414,126.a2,0,2,126
413,126.a3,0,4,126
411,126.a4,0,4,126
410,126.a5,0,2,126
415,126.a6,0,2,126
409,126.b1,0,6,126
408,126.b2,0,6,126
407,126.b3,0,6,126
405,126.b4,0,2,126
404,126.b5,0,2,126
406,126.b6,0,6,126
417,128.a1,1,2,128
416,128.a2,1,2,128
419,128.b1,0,2,128
418,128.b2,0,2,128
421,128.c1,0,2,128
420,128.c2,0,2,128
423,128.d1,0,2,128
422,128.d2,0,2,128
424,129.a1,1,1,129
427,129.b1,0,4,129
425,129.b2,0,4,129
426,129.b3,0,2,129
428,129.b4,0,2,129
431,130.a1,1,2,130
429,130.a2,1,6,130
430,130.a3,1,6,130
432,130.a4,1,2,130
435,130.b1,0,2,130
434,130.b2,0,4,130
436,130.b3,0,4,130
433,130.b4,0,4,130
437,130.c1,0,2,130
438,130.c2,0,2,130
439,131.a1,1,1,131
443,132.a1,0,2,132
442,132.a2,0,2,132
441,132.b1,0,2,132
440,132.b2,0,2,132
444,135.a1,1,1,135
445,135.b1,0,1,135
446,136.a1,1,2,136
447,136.a2,1,2,136
449,136.b1,0,2,136
448,136.b2,0,2,136
451,138.a1,1,2,138
450,138.a2,1,2,138
455,138.b1,0,2,138
453,138.b2,0,6,138
452,138.b3,0,6,138
454,138.b4,0,2,138
459,138.c1,0,2,138
458,138.c2,0,2,138
457,138.c3,0,4,138
456,138.c4,0,4,138
460,139.a1,0,1,139
462,140.a1,0,1,140
461,140.a2,0,3,140
463,140.b1,0,1,140
464,141.a1,1,1,141
466,141.b1,0,2,141
465,141.b2,0,2,141
470,141.c1,0,2,141
469,141.c2,0,2,141
468,141.c3,0,4,141
467,141.c4,0,4,141
471,141.d1,1,1,141
472,141.e1,0,1,141
474,142.a1,1,1,142
476,142.b1,0,2,142
475,142.b2,0,2,142
479,142.c1,0,1,142
473,142.d1,1,1,142
478,142.e1,0,1,142
477,142.e2,0,3,142
480,143.a1,1,1,143
484,144.a1,0,2,144
482,144.a2,0,2,144
481,144.a3,0,2,144
483,144.a4,0,2,144
489,144.b1,0,2,144
488,144.b2,0,4,144
487,144.b3,0,4,144
486,144.b4,0,4,144
485,144.b5,0,2,144
490,144.b6,0,2,144
491,145.a1,1,2,145
492,145.a2,1,2,145
497,147.a1,0,2,147
496,147.a2,0,4,147
495,147.a3,0,2,147
498,147.a4,0,2,147
494,147.a5,0,4,147
493,147.a6,0,4,147
502,147.b1,0,1,147
